grid_id,center_lat,center_lon,count
2595_15519,12.97751039628483,77.59746782352941,323
2604_15518,13.022433697160885,77.59243342271293,317
2602_15518,13.012586653968254,77.59249171428571,315
2604_15519,13.022342904458599,77.59743156369426,314
2593_15519,12.9675911414791,77.59757821221865,311
2588_15524,12.942483453376205,77.62257590353697,311
2586_15524,12.932430823151126,77.6224021414791,311
2594_15518,12.972342713826366,77.59255598070739,311
2585_15524,12.927625883495146,77.62256495145631,309
2587_15525,12.937464795454545,77.6275666396104,308
2603_15518,13.017600534201954,77.59245524755701,307
2587_15523,12.937579488599349,77.61742305211726,307
2588_15523,12.942448827118643,77.61742018305084,295
2586_15523,12.93258931292517,77.61737639115645,294
2593_15517,12.967493774744028,77.58731426279863,293
2595_15517,12.977482722602739,77.58759969863013,292
2585_15525,12.92755067353952,77.627421,291
2593_15518,12.967524813793103,77.59229829655172,290
2604_15520,13.022701128472223,77.60237357291666,288
2595_15518,12.977587874125874,77.59257710839161,286
